user_id,title,description,status,start_date,end_date
1,Spring Cattle Auction,"Diverse selection of beef and dairy cattle.  Pre-register for bidding.",upcoming,2024-04-20 09:00:00,2024-04-22 17:00:00
1,Farm Machinery & Equipment Sale,"Tractors, combines, implements, and more.  Inspection day April 10th.",upcoming,2024-04-15 08:00:00,2024-04-16 16:00:00
1,Poultry & Small Livestock Swap,"Chickens, ducks, rabbits, goats, and more.  Find your next farm addition.",live,2024-03-26 10:00:00,2024-03-26 15:00:00
1,Hay & Feed Lot Sale,"Round bales, square bales, alfalfa, mixed grass.  Loading available.",closed,2024-03-12 08:00:00,2024-03-13 15:00:00
1,Annual Spring Plant Sale,"Hundreds of varieties of flowers, vegetables, and herbs.  Pre-order for best selection.",upcoming,2024-05-01 08:00:00,2024-05-01 16:00:00
1,Annual Fall Plant Sale,"Mums, pumpkins, gourds, and more.  Pre-order for best selection.",upcoming,2024-09-15 08:00:00,2024-09-15 16:00:00
1,Annual Farm Equipment Auction,"Tractors, combines, implements, and more.  Inspection day September 10th.",upcoming,2024-09-20 08:00:00,2024-09-21 16:00:00
1,Annual Fall Cattle Auction,"Diverse selection of beef and dairy cattle.  Pre-register for bidding.",upcoming,2024-10-20 09:00:00,2024-10-22 17:00:00
1,Annual Fall Plant Sale,"Mums, pumpkins, gourds, and more.  Pre-order for best selection.",upcoming,2024-09-15 08:00:00,2024-09-15 16:00:00
1,Annual Farm Equipment Auction,"Tractors, combines, implements, and more.  Inspection day September 10th.",upcoming,2024-09-20 08:00:00,2024-09-21 16:00:00
1,Annual Fall Cattle Auction,"Diverse selection of beef and dairy cattle.  Pre-register for bidding.",upcoming,2024-10-20 09:00:00,2024-10-22 17:00:00
